user,comments,
???? ???? ???,I dont think so that the narrative of Qaid e Azam was to rob national treasure and stash money abroad . It was not the narrative of Qaid e Azam to borrow money form the national treasure and then waive it off .,
Rana M Shahnawaz,I FAIL TO UNDERSTAND THE JUDICIARY SYSTEM AND LAWS OF ISLAMIC REPUBLIC OF PAKISTAN. A CONVICTED CRIMINAL ADDRESSING PUBLIC GATHERING. WHAT SHAMEFUL SYSTEM.,
Khan Cap Arsel,I FAIL TO UNDERSTAND THE JUDICIARY SYSTEM AND LAWS OF ISLAMIC REPUBLIC OF PAKISTAN. A CONVICTED CRIMINAL ADDRESSING PUBLIC GATHERING. WHAT SHAMEFUL SYSTEM.,
Syed Hasan Reza Hasni,I FAIL TO UNDERSTAND THE JUDICIARY SYSTEM AND LAWS OF ISLAMIC REPUBLIC OF PAKISTAN. A CONVICTED CRIMINAL ADDRESSING PUBLIC GATHERING. WHAT SHAMEFUL SYSTEM.,
Tahir Nafees,I feel pity for those who still follow such narratives. These type of hybrid moulana can say anything for their self interest.,
Akber Ali,I hate politics Its full of lie to people . Its time waste,
G M Gabol,I hate this orat,
Asad Ullah,"I have no relation or any obligation with any political party including PTI and the opposition, but one humble request to all politicians and political parties that please do something for the helpless and suffering people of our country. PPP, pml'n, jÖ",
Muhammad Akhtar,"I hope, trust & pray that saber elements will prevail and avoid confrontational politics which is in nobody's interest....",
Syed Nazim Uddin,I like maryam nwaz wahh maryam nwaz,
Rana Nadeem Khan,I like that???? ??????,
Rana Nadeem Khan,i like this video!,
Muhammad Naeem Tahir,I lov u nazsharep,
Muhammad Ejaz Jazi,I love ?? u Maryam,
Mohd Yasir,I love maryam api she is a nice lady,
Mehmood Ali,i love mln,
Ch Salman Nawaz,I love Pakistan and I love Imran khan,
Bint e Muhmmad,"I love Pakistan, I love pak army!",
Ahmad Ahmad,I love pdm,
Sadam Hossain,I love pti,
Bin Ashraf,i love u,
Irshad Irshad,i love u pmln,
Irshad Irshad,I love you my friend,
Hina Hina,I love you Pml.n,
Tofique Malik,I love you Pml.n,
Rana Azeem,I love you Pml.n,
Rana Azeem,I love you Pml.n,
Rana Azeem,I love you Pml.n,
Aini GM,I love you Pml.n,
Tayyab Abbaxci,I love you Pml.n,
Raja Nisar,I love you Pml.n,
Muhammad Ali Khan,I miss my ladar mry khun ky akhre ktry ap ky lyz ha apne jmat ky lyz ha,
Hamxa Mansoor,I pity the people who follow this man!,
Rukhsana Maken,I RECJECT DEEEEEZAL,
Sardar Aurang Zaib Wattoo,I RECJECT MARIYAM,
Muhammad Bashir Ahmed,I RECJECT PDM,
PrÌÒÁË BÏlÂl ≈w‚Ò,I RECJECT PDM,
A. A. Bodla,I RECJECT PDM,
Akram Ali,I Reject All of them,
Rana Ammar Afzal,I reject PDM and PTM ????,
Kashif Khan Khattak,I rejected PDM,
Malik Zaheer Awan,I rejected pdm and ptm forever,
Kanwal Masood,I remember how balochi ppl was sitting with their beloved who pass away in bomb blast for several days and demanded govornor rule.,
Sufyan Usman,I sprouts you ??,
Abdul Hafeez Butt,"I think he should not use the religious term to fool people when he himself does not know the exact meaning of those religious terms. He does not follow Islam nor preach correct Islam but only run after money, power and AYYASHI. Islam is in serious criÖ",
Malik Shahbaz Channar,I think it's Trump...,
Kabir Ahmed Kabir Ahmed,I used to think bilawl is Rahul gandhi of India as no one take him serious but now I realise Raul gandhi makes much more sense,
Sharjeel Theme,I voted for Imran Khan before but that's not a mistake I'm going to make twice...,
PrÌÒÁË BÏlÂl ≈w‚Ò,I wish i could smack his zanana face with a steel brick. Children of corrupt politicians with no record of public service are now given free hand in politics. High time,
Abdullah Ilyas,I wish people knew that PDM is meant for protection of apolitical dynasty of Nawaz and Zaradari.,
Sana Rabbani Khar,i wish people pop up with horns on their heads when lying...i wish so that we hear less lies and more truth...,
Mian Khuram,I wonder if a person like bilawal can even be a chairman of BALDIA of a small town.,
Muhammad Jamal,idiot on the loose again!,
Khalid Manzoor,Idiots circus,
Jaam Adnan,"If civil supremacy prevails,the credit would go to Sb.",
Babar Butt,If he is unable to send Pti government home by January then Bilawal should let Sheikh Rasheed to give him a kiss before sending him back from Islamabad,
Shahid Hanif Shad,If he was really 'shocked' as he now claims than why does he not distance & remove himself from this unholy alliance under the garb of PDM...,
M Hamza Ch,"If inflation is not reduced, then the people will take over the system. There will be no need for opposition",
Ch Hadeed Cheema,if people like nawaz and his allies talk against Army in india.they will be sent to Kala Pani jail for life.. Pakistan PM is nothing but a puppet.,
Sardar Haji Muneer Ahmad,"if rejection had a face, it would look like Fazlurehman..",
Jasmine Jhon,"If someone using religion for their own benefits, believe me he/she is not a true religious person.. why you called it Jihad?",
Mian Naveed,"If this is Jihad then he needs to be on the fore front.. if in case you embrace ""shahadat""",
Mian Naveed,If true democracy flourish in pakistan ........then both India and Pakistan's relations will be normal wheather PM is Imran or nawaj shariff (But amry should be in control of government),
Mian Naveed,"If you remove the beard from his face, he very much looks like Rao Anwaar. Check yourself",
Mian Naveed,"If Your Home, then they will be ready everytime",
Sardar Malik Zhoaib Dawanj,"IK and Institutions of Pakistan with stand strong and united against corrupt elements of country. These looters will not be let go. IK once said ""main enko rulauga"" and today this is happening",
Sardar Malik Zhoaib Dawanj,"IK and Institutions of Pakistan with stand strong and united against corrupt elements of country. These looters will not be let go. IK once said ""main enko rulauga"" and today this is happening",
Rashidkhan Rashidkhan,Ik puppet is now replacing by Bilawal puppet.,
M Tariq Jakhrani Baloch,ILOVE Pakistan.,
Saima Saima,Imagine ppl supporting bilawal,
N A Khan,"Imraan khan zindabaad, mera agla vote bhi Imraan khan ka, Imraan khan inn bharti ghulaamon ko mat chorna.",
Amjad Abbasi,"Imran is great ,and honest",
Junaid Butt,Imran is great leader,
Rehnoma Muhammad Mahar Pmln,IMRAN KHAN CHOR HAIN JHOOTA HAIN NIAZI,
Munir Khan Gurmani,Imran Khan great leader,
Munir Khan Gurmani,Imran Khan great Prime Minister,
AnWar Khan MuQbal,IMRAN KHAN is the leader of PAKISTAN,
Mussa Bhai,Imran Khan jhota num 1 h,
Hamid Hundal,Imran KhaN k pishaawari chapal k barabar bhi Nahi tum choorni ????,
Alla Rakha,Imran khan ka channel hai,
Ch Jamshaid Aslam Khan,Imran khan Kal bhi farig ni hoa.....,
M Raja M Raja,Imran Khan ki hukomat na logo sa do waqt ki rooti cheen li,
Muhammad Ajmal,Imran khan Ki juti I k barabar b nahi,
Engr Muhammad Shahbaz,Imran khan ko chahye k in sab ko ikhatha kr K ulta larka dy ta k in gadarn sy humesha kelye Jan chout Jay ta k inki any wali naslain bi yad rakhain k kisi mard sy wasta pra tha,
Muhammad Aslam Lodhi,Imran Khan me kaha tha.. ke in Sary choro ne akathe ho gana hy..,
Syed Jawad Bukhari,Imran khan murda bad,
Rana Rizwan Khalil,Imran khan se shro hok imran pr khtm.nwaz se shro nwaz pr khtm.taqreer ase hoti hn.ledr asy hoty hn.ledr zatyat pr nhi nazryat pr bat karty hn.,
Abdul Shafiq,Imran khan taara Moo sukray tatta varga ae,
Rana Ilyas,imran khan zandbad,
Rana Ilyas,Imran Khan zendabad,
Rana Ilyas,Imran khan zinda bad,
Rana Ilyas,Imran Khan zindabad,
Rana Ilyas,IMRAN KHAN ZINDABAD,
Rana Ilyas,Imran Khan zindabad,
Raja Hafeez Samlal,Imran khan zindabad,
Sahil Arman,Imran khan zindabad,
Sheikh Rafiq,Imran khan zindabad,
Asmat Ullah Kakar,imran khan zindabad,
Abdul Ghaffar Baloch,Imran khan zindabad,
Altaf Abbasi,Imran khan zindabad,
Muhammad Bilal,IMRAN KHAN ZINDABAD ??,
Muhammad Sajjad,IMRAN KHAN zindabad pakistan zindabad,
Saim Asgar,Imran khan zindabad. Awam apnay khan aur Army ka sath ha. Bhagao mulk ka ghadaron ko.,
Saim Asgar,Imran Khan zindabad..??,
Saim Asgar,ImRan tou gaya,
Ejazkhan Pmln,Imrno fobia or deep love??,
Ishfaq Hussain,In GB they fight one another for Seats but due to failure outrightly all of them are now in the same boat . what a pathetic alliance it is. One rise the slogan of maulana and the other cut it off by saying bhtto was not died not finishing this the nextÖ,
??????? ??????,Incompetent govt backed by rouge Military.,
Ayesha Khan,India b sochta hai k kin par paisa zaya kia,
Shaveer Rehan,India nawaz shareef ku pasand krta pak army nae sochne wali baat han,
Shaveer Rehan,inki jalan dekh k IK phir acha lag hi jata hai,
Mamad Tahir Sardar,Inki shaklen dekh ker ulti ati hai. Mat dekhao inko,
Abdul Muheet,Inqalab,
Shaan Khan,Inshallah hamare hukomat dubara ay gi,
Xh Abid Ali Adv,inshallah i will vote imran khan in next election.,
Irsadh Bha,Inshallah next hakumat bi imran khan ki ho gi,
Muhammad Asif,inshAllah PDM JitY gi us DaFa,
Sajjad Hussain,iNTEHAY DARJY KI MAKKAR AWRAT HY YE NANI AMAA,
Sajjad Hussain,international bhikhari Imran katora khan jane wala hai ????,
Muhammad Hafeez,Is he iviting govt to HIS HOME?,
Mamad Tahir Sardar,"Is he referring to the Poverty, Hunger, Disease and, Homelessness that was created by PPP and Nawaz Shariff.......",
Mamad Tahir Sardar,Is it important news for us ? Illiterate admin,
Amjad Talaash,Is ki London kya Pakistan MA b property NY,
Burhan Hashmi,Is ko to mene Karachi ki chowrangi par dekha tha,
Azam Baig,Is mike ko mun me leye jahil insaaan ??,
Noman Malik,"Is the body being parceled from DHL or TCS? Musharraf is the father of all criminal generals. Otherwise, in a country where the Constitution reigns, those who violate the Constitution are not condoned as heroes.",
Ghaffar Khan,Iski sunta kon hay ...siwaye Sheikh Rasheed ke,
Sar Meen,Isn't there any Mufti in Pakistan who can come out and issue a Fatwa against this so called Maulana for declaring Jihad against a Muslim regeme.,
Kiran Saleem,Iss Larrki noma lotaray ki baiti cheekhain nikal rahai hain,
Faraz Ahmed,iss se zayada to corner meeting mein ikhattay ho jatay hein,
Liaquat Rajar,It all all about having balls that are big enough.,
Muhammad Jamil,It is the need of time,
Muhammad Jamil,It means first one fail,
Ch Shafqat Hasnain Pandha,"It should be Ironic, we must strive a 'Jihad' against you culprits...",
Sher Baz Shomeuo,it should be KPK lead charter.,
Imran Yaqoob,It was good show reasonable gathering,
Shahzad Qamar,Itís a fair statement.,
Gull Baden,Itís called the Wave,
Hakeem Khan,Itís time for you to retire Molana.,
Gull Baden,Itna dramatic speech! Kia urdu hai....good improvement!,
Faizullah Fragh Pmln,"Itna jihad ka shouq hai toh kashmir mein karo, at least mulk ka faida hi hoga",
Faizullah Fragh Pmln,Itna tujy logo ki fikar he to jalsa nhi karti,
MuhammadQasim MuhammadQasim MuhammadQasim,"Itni maar khaye gi tu mujh se qasam se , Awam ko pagal bana rahy ho , Matlab koi mazak chal raha ha ? Hamen short term memory loss ha jo ham panama case ka kacha chatta bhool gae ? Or ab apki bar bar per yaqeen kren gen ? Ye sari mehnat akhir q ?",
Ishfaq Ali Shah,"Its a revolution in the making. Now Imran would know whats called ""pissing the pants"" that he used to say about Pakistan Army.",
Hamza Jan,Its almost empty,
Raja Ibrahim,Its Bilawal zardaris U-turn time,
Raja Ibrahim,Its not ur it was just and only of durrani,
??? ???? ???chor??,Its proven that PML(N) along with socalled opposition using fool and stupid people's just for ther personal purpose as they try to get rid of Corruption cases they haven't any care of people's health during pandemic,
Cricket Bats Seller,It's true,
Junaid Rajput,I've never seen so many decieted lalus in my life,
Imran Jalal Khan Niazi,Izhar b mushkil ha chup ra b ni skty majboor ha uf ALLAH khuch kah b ni skty,
Zeeshan Khan,"ja apnay bhgoray bap ko la,,",
Haroon Baig,Jaaa Qatar k shzady ko smbhal,
Hafiz Ihtsham,Jab elakshan k time hota to asa bat karta a,
Sibghat Ullah Bangash,Jahad cannot be declared by a hypocrite and he's the biggest hypocrite ever born,
Luk Hus,Jahil molvi. He dont know the meaning of Jihad.,
Sardar Asad Sardar Asad,Jahil mulla......,
Mir Basharat Sulhria,Jalse se kuch bhi nhe hota! Imran khan kahi nhe jaye,
Faizullah Fragh Pmln,Jalsssa????????,
Ali Nawaz Saboor,"Jan choro Jan choro.""",
Ihsan Ullah,Jay kisi ne imran day hak vich vote Dita ae me oudi v pain kad laani ae,
Abdullah Yousafzai,Jb nzr ni aah rhy tu kaisy pta ky log kharay?????,
Aimen Shah,Jb sali hakomat m.hoti h koi maan bhn bahi nzr ni ataaaa??????????,
Junaid Wazir,Jeaaaaaaya kuto billo rani,
Abdul Razaq,Jeetty rahain Maryum Anti.... Ameen,
Fazal Rahim Shah,Jeo nice,
Ameer Hamza,Jhoooti makkar,
Sardar FaiZan,"Jhoot bol kar bharosa tornay say behtar hai such bol kar rishta torh deya jaey, rishta phir jur jaey ga bharosa phir nahi jurta",
Sh„kir J„„n,Jhoot ki bi intehai....muk gaya Tera show ..nani 420,
Mubshir Khan Murshad,Jhooti,
Umar Iqbal,Jhooti maryam,
Zulfiqar Khattak,Jhot jhot aur jhot,
Kashif Nassar,Jhouti Aurat,
Malik Shahzad Ahmad Channer,Jhta or mnafaq safi,
Samar Jamil Khan,Jhuti awarat,
Alaf Tabedar,Jhuti yaha b jhut hahahaha toba yr kitni jhuti aurat ha ye,
Aqeel Abbas Khan,jihad,
Rana Nadeem Khan,Jihad ...!,
Shahid Rehman,Jihad against a government whoís trying to wipe out corruption and bring to book those who siphoned billions from the Pakistan treasury !! Wah kia Jihad hai Jahil mullah,
Mak T,Jihad e fee sabeele fazal,
Sobia Malik,Jihad has become a most Abusive word in world politics these days thanks to Pakistan. First they used it against non Muslims now getting taste of own medicine,
???? ????????,Jihad means struggling and the main agenda of PDM is to struggle for democracy.,
Talha Tariq,"Jihad will continue till I found bungla 11 , restore Kashmir cometee chairman and protocol source from fazli rahman",
