users,comments,labels,,
Muhammad Rashid Ali Choudhary,RT @MaizaHameed: Scenes from back side of Minr A Pakistan full crowd during @MaryamNSharif speech #PDMJalsa numbers speak for themselves h…,agree,,
Hina Sheikh Kinariwala,RT @DilAwai92620210: This #StudentsWantOnlineExams trend is being supported by all nalayaq #Patwari s of #PMLN. As civilized students they…,sarcastic,,
Dil Awaiz Khan,This #StudentsWantOnlineExams trend is being supported by all nalayaq #Patwari s of #PMLN. As civilized students t… https://t.co/cR2jkGCAZO,sarcastic,,
Sappu Ram,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
zee??,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
RabRaakha,@NawazShrifMNS Mian saanp ?? giving speech in #PDMJalsa from #London ??,angry,,
Assadullah Bayad,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
????? ???? ??? ???? ???? ?????imran burger,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Z??????????????L??K??,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Rao M.Anwar,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
shoaib mughal offical,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Abdullah Butt,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Hazara Grenade,They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stu… https://t.co/hFHlkRtOFU,angry,,
Marium,RT @zaaraZAK: To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,sarcastic,,
MumtazBikak,"RT @MPASajidJokhio: Malir as always forte of PPP. My jiyalas of malir come and join me in #Multan, let's show #Malir rejects this selected…",agree,,
Jagroop Pannu,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
The Khyber Times,"Live: Important Press Conference of Secretary General PML-N Ahsan Iqbal.
https://t.co/kohSmlkUws
.
#PDMLoralaiJalsa… https://t.co/oLUhH4SJlJ",agree,,
Zafar Iqbal,RT @ahmedfaisalch: Here’s to Team Larkana’s humble efforts of maintaining peace &amp; security on 27th Dec #PDMJalsa. Alhamdulillah on its smoo…,agree,,
Deepak Ghale,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
M Ashraf,@MaryamNSharif Madam Maryam Bibi.we missed you so much at the #pdmjalsa in Lorelei.The only question on everyone's… https://t.co/YOfGGuI1F7,agree,,
DJ Butt Official,"RT @_Mansoor_Ali: [EXCLUSIVE] Why Imran Khan is angry with DJ Butt? | Shocking details of FIR | Mansoor Ali Khan

https://t.co/QN5YnCv60h…",angry,,
Abhimanyu Kumar,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
M. Usman Haidar NA 103,RT @MaizaHameed: Scenes from back side of Minr A Pakistan full crowd during @MaryamNSharif speech #PDMJalsa numbers speak for themselves h…,agree,,
@bdul_$@m@D_Ebr@him ??,"Abhinandan calls Fazlur Rehman and hung up saying, ""don't go to Rawalpindi"", sources said. 

#PDM 
#pdmjalsa",sarcastic,,
Malik muhammad Umar khan,"RT @_Mansoor_Ali: DG ISPR denies rumors about contact with Opposition | Offer of tea for Maulana | Mansoor Ali Khan

https://t.co/YS6njJ5qg…",neutral,,
M Ashraf,"Maryam Bibi, I have heard that you aren't coming to tomorrow #PDMJalsa Believe me we are very disappointed @MaryamNSharif",neutral,,
Ashfaq Khan,RT @zaaraZAK: To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,sarcastic,,
empathetic kn,RT @zaaraZAK: To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,sarcastic,,
Zaara Abbas Khan,To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,sarcastic,,
Naeemullah Silachi Baloch,#????_????_???? if zalalat had a face???????????????? #WhatsAppheadquarters #PAFsTeaWasFantastic #moulana… https://t.co/IMcgJPeNqs,sarcastic,,
Oxygen,"Preparations for tomorrow meeting of PDM in Loralai.
#PDMJalsa https://t.co/h7zDTqPifk",neutral,,
PakArmy,"RT @NajdaDar: Yes, I have tried ISPR’s tea and “it was fantastic” - hey don’t get me wrong I was there for an internship but #mulana would…",sarcastic,,
PakArmy,"RT @Pak_Destiny: PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors #DGISPR #PDMR…",agree,,
Engr. Asif Farman,@iamowaisnoorani @MaryamNSharif Malakand people missed the brave daughter of brave leader today in #PDMJalsa,sarcastic,,
Awais Ahmed Tunio pyo??,"RT @Pak_Destiny: PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors #DGISPR #PDMR…",sarcastic,,
True_Solider,"RT @Pak_Destiny: PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors #DGISPR #PDMR…",sarcastic,,
PakDestiny.com,"PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors… https://t.co/aAOceE5xJW",agree,,
NPP News TV,"#AmirMuqam Speech At #PDMRallyMalakand 

@pmln_org @PMLNPunjabPk @pmlnsindh_org @PmlnKhidivision @PmlnAjk_org… https://t.co/Ls0fxZlp6D",neutral,,
Hafeez Tanoli,"RT @NajdaDar: Yes, I have tried ISPR’s tea and “it was fantastic” - hey don’t get me wrong I was there for an internship but #mulana would…",sarcastic,,
