User,comment
Faizan Arif,....and now  DAWN will support this dajjali
Qasim Khan,: Thief
Usama Rana,: Where is stick
Ahmad SaAd,1 point each for parties in PDM and 2 extra for molana just in case
Muhammad Zauq,100 logon k jalsay se imran khan ki hakumat nhi jaye gi chorni.
Taimur Ali,11 jmaatain mil k aik Choti jalsi bhi ni kr skin
Rana Uzair,11 Parties and 5 thousands people. Lanat teri leaderi tay.
Sadruddin Jamaluddin,11 Parties Hain Bibi sharim Tum Ko magar ni Ati
Tariq Shamsher Khan,"11 parties ko nach nachwa diya aur kitna  elh chahiye chorni rani ko,isse zyda elh hogya to 11 mulko ki police bhi piche lag jayegi in choro lootero ke."
Adnan Akhter,11 parties mila k ek ground nhi bhar saky ....
Pervaiz Ahmed Ma'ad,11 parties ne mill k jalsa ghr bharrr dya hai .....hahahaahahah had hai .....
Omar Shahid,11 party hhhh
Usama Sarwar,11 party mil kar bhi pora nahi bhar saki
Masood Mian,11parties vs 1. Agar 1 lakh loug bhi hon tau bhi 10000 per party na bnay. Koi Sharam Hoty hay koi gya Hoty hay. Imran Khan zindabad Pakistan zindabad.
choudhary Shujat Ali,"13 more years of Imran Khan, Inshallah!"
Zi SHaan,150 logg
Zafar Koreshi,1500 se 2000 log bass. Wo b madarsy k
Ejaz Ahmad,2 neutralize Army d Opposition shd divide exclusive turfs for self reign via ballot;        . No better way to give goosebumps 2    and end their machinations!
Syed Qasim Ali,2 no channel
Adnan Ahmed,3 days earlier he said he won't leave GB before making his CM. *wink* with 3 seats
Naureen Wajihuddin,30 million
Faseeh Qazi,30 Sal  KY bad bi awam ko bykof na bnaw
Rizwan Akmal Malik,5 saal barhi taraqqi de k gaye he ppp gov bus Pakistan apne pero pe kharha hi honey Wala thaa inki hakoomat chali gayee in k doar me doodh ki nehre baha karti theee
Zahid Nisar,5000 note waly quaid e azam ki baat kr rhe hn mian sb .... chai tu pila dety fantastic zalimu ...
علی جدون,"9 baby u should back 2 home wd all ur culprit ""tola""..."
Ameer Ali Khan,9 parties ka hajoom
Shariq Ahmed Qidwai,a big sound
Naseem Ur-Rahman,"A blotch and stupid person, IK should more intensify him to become a psychic."
Saad Butt,A complete flop show of criminals! The conscious and patriotic people of Pakistan have clearly rejected the looters and criminals. Now there is no place left for their escape except to jump from the top of Minar-e- Pakistan and commit suicide.                                                   مجرموں کا ایک مکمل فلاپ chorو! پاکستان کے باchorعور اور محب وطن عوام نے لوٹ مار کرنے والوں اور مجرموں کو صاف طور پر مسترد کردیا ہے۔ ان کے فرار کے لئے اب کوئی جگہ باقی نہیں بچی ہے سوائے مینار پاکستان کی چوٹی سے چھلانگ لگانے اور خود کchorی کرنے کے۔
Zia Ul Islam Siddiqi,"A crooks card-playing, criminal deception and crafty manipulation of words, does not represent the perspective of poor people of Pakistan. A gathering of a number of thieves, looters and other scum that have been remained in public office for the past …"
Fahad Khan,A dacoit who is out on bail is giving us lectures on democracy. It's a shame that we had to go through this curse of dynastic politics. A woman with absolutely zero credibility is trying to get the attention.
Mujtaba Memon,A dacoit who is out on bail is giving us lectures on democracy. It's a shame that we had to go through this curse of dynastic politics. A woman with absolutely zero credibility is trying to get the attention.
Rodney Malvery,A dacoit who is out on bail is giving us lectures on democracy. It's a shame that we had to go through this curse of dynastic politics. A woman with absolutely zero credibility is trying to get the attention.
Mariyam Irfan,A lot of crowd had gathered to see u but u didnot come
Raja Khushal Khan,A new Muk muka to save the status quo
Intikhab Alam,A nexus of decoits
Abu-Bakar Usman Haider,A one sister g
Nasir Khan,"A party who only has 5 seats in kpk assembly is going to do a power show. First get majority representation in a province then start making decision. I understand why he is so incompetent, he is still a child and learning and children shouldn’t get int…"
Mujtaba Memon,a terrorist that blasts himself calls it a jihad too !! Maulana tmany aur unmay koi fark nhai
Mir Ali,A true shameless lady with no dignity
Ayaz Baig,"A.o.A thats Good leadership dear mam, and bhutto , Tankeed krnay waalay youthiay ap sub ko sharm ani chayey , agr PDM ki kiyadat siyasat chamkanay ai hoi thi to Niazi ka koi mar gia hy jo us p ro raha hy jo hazara nh ja saka , lanat aisee govt p , Riya…"
Tabassum Khan,A1
Misbah Ulhaq,Aaj mardan walon ne bhee reject kar  dia.
Komail Alii,Aaj PDM ka janaza malakand mein adaa kiya gaya...Tadfeen ka ailaan baad mein kiya jaye ga
Shbr Jan,Aaj tu sb kuty aur biliyan aur choha aghty ha 🤣🤣🤣🤣
Haris Samad,Aap yaqeen maano adhy se ziyada awaam mriam jano ko daikhne aei h bleave me
Sohail Mayo,Aar Ya Paar (😜)...My foot.
Shahzeb Sohail,"Aarohi, kuch nai bas yunhi"
Choudhary Shujat Ali,ab kuch gtu krna hi
KB Shar,Ab ye jihad wala chooran nahi biknay wala. Tum logon nay pehlay hi ye chooran baich ker mulk ka khana kharab ker dia. Logon ko Jihad ki sahi definition bhi bhula di tum bay ghairaton nay.
Hamid Khan,Aba bachwoo Nani 420
Sylvia Jaffery,Abay Mullah I will give you some halwa if you SHUT UP
Muzaffar Najib,Abbo bachao mariyam
Usman Mohammad,Abbu is stronger than you all.
Majid Hussain,Abe galana sekla hojaga afka
Sumair Saleem,Aboo bachaoo rally
Alishba Khan,Absolutely rite imran  has demage  to this country  a lot he is feeling less person
Waqqas Ahmed,Abu bachao mohem😂
Hamza Rehman,"Abu bachao Pakistan ko bech do , Nani Qatari ,"
Rãi Tãyyãb Shąhząd,Abu bachao sary chor hn
Usman Rasool,aby army ka danda aega sab theek hojaengay jitni bakwas kerni hai kerlo.....
Harris Nadeem,"According to him, ""Democracy is the best revenge""."
Hassan Saeed Siddiqui,According to the constitution you are an absconder
Adnan Khan,Acha thukai lagaya Pak PM Katora khan ka ...veey good
Israr Raja,Actual policy to secure party but it will not work Buddy
Zaheeruddin Ahmed,Adib bhai dil pay na lo
Rehan Ahmed,Afsoos PTI ke Minar E Pakistan se bara jalsa Nahi tha
Bhat Irfan,Afsos in k apnae bache kiyo nhi yaha
Khan Ehtesham,"After failing in Profeganda & hypocrite tactics, the last religion card will fail too."
Arshad Kazmi,"After leaving Bungalow No. 22, this madman's brain has stopped working. For the last two years, this madman has been sniffing like this."
Afaaq Kaul,After today's flop show bibi kisee naalay may kood ker suicide kerlo tum agar thori se bhi Gharat baaki hay toh
Zain Shamim Jalali,"Against brutal establishment,"
Khan Ehtesham,Agar her jalsa kamyab aur packed hota hai aur inke paas awami taqat hai to yeh Astifay kyun nahi de rahay? Lolll
Rohan R S Sunshine,Agar Imran khan maryam se shadi karly sab mamly set ho jay
Aqil Khan,Agar koi apni ghalati accept karta hai to. Iska matlab hai wo Azeem aur sacha Admi hai aur uski madad Allah Tallah farmate hain.
Ejaz Ul Haq,Agr Imran ki hakumat nakaam hogayi to Pakistan nahi bachay ga.. tamam Pakistanion ko chahiye kay Imran kay haath mazboot karein aur in choron ko kaifir e kirdar tak pohanchanay me apna kirdaar adaa karain.. Pakistan Zindabaad.
SJ Ali Bukhari,Agree with you Nadir.
M. Fasih Sidd,Agreed
Hassaan Ahmad Alvi,"Agreed on every point but why this charter has nothing to say about corruption,  rule of law, independence of police, limitation of parliamentary members and their role in civili serving departments. This is not charter of democracy rather charter of s…"
Nasar Minallah,"Ah ,an other fine example of using religion for your gain..."
Maaz Ul Haq,Ahahahah ahahahah ahahahah ahahahah ahahahah ahahahah
Asad Khan,Aik bnday k hath me 2 flag thay
Fiaz Ahmed,Aj lahk raha hai Mariam full fome ma hai
Aftab Ahmed,Ajjao may tumari kulfi garam qar lou
Aftab Ahmed,"All are valid and reality based points but the point that establesment and intelligent agencies should be keep always away from the politics, is the most important point."
Aftab Ahmed,All corrupt opposition is doing thier best to tackle Khan Govt under masquerade and pretext of so called democracy and even in thier own parties they don't practice democracy but are dynasties
Muhammad Sharjeel,"All he needs is self-glorification and capturing the multi-media limelight in order to make his presence felt in the political arena, stay afloat, rally support, get counted, look busy, motivate fans, seek funds and dream of becoming the head of the st…"
Akbar A,All idiots
Umar Gujjar,All know well  Geedar now.
Zaffar Abbas,All looters on one side and can't do anything about Khan. InshaAllah they will be gone forever from the page of history
Aftab Ahmed,All losers united
Aftab Ahmed,All madrassa students
Moomin Ahad Wani,"All of the PDM party need to be rounded up and locked up for causing chaos across the country. The masses did not vote for them, they need to accept the verdict and back down."
Adnan Ahmed,all rejected just because moulana was ejected from parliament and bunglow
Sajad Wani,All the commenters here are fools.Nobody can fathom the political acumen of Molana.
Zohaib Anser,All the visible flags belong to jamiat
Gul Ahmed,"All these are talking about democracy. Why is it that there are very senior and seasoned politicians in PPP and PMLN but they have to stand with respect behind these kids, Bilawal and Marium Nawaz. This is not democracy. If Benazir got shot or Nawaz Sh…"
Khan Ehtesham,All these tugs have gathered to halt the progress of country and to save their corruption.
Muhammad Uzair Balooch,"All three main parties of PDM have different goals and severity level of their leader's statement's totally depends upon their goals, for example, top PMLN leaders are convicted or in jail,so they are targeting the govt and army bluntly, because they h…"
فرح chorاہد,ALLAH ki trf sa is aort pr lazim hy k hr wqt imran khan ka zikr kry
Syed Naseeb Ullah Khan,ALLAH ki trf sa is aort pr lazim hy k hr wqt imran khan ka zikr kry
Imran SK,ALLAH ki trf sa is aort pr lazim hy k hr wqt imran khan ka zikr kry
Tayyaba Fatima,Allah pak jehnum naseeb farma ameen
Shakeel Hameed,"Alliance of corrupt people, imran Khan will be more strong"
Rizwan Elahi,Aloo 200/= dozen
Muhammad Hassan,"Alright Alright Alright, so a Jihad not for Shariah but for democracy, a jihad not to end "" sood ka nizam"" but to overthrow government, a jihad not against people who change sides for vested interests but for standing aginst your own."
Mohammed Ameen,"also, bring forward the previous video  clip of IK made against the army"
Mehmood Lakhani,"Always laugh on his childish, immature jokes. He is criticising PTI, who is in the government for 2-1/2 years. His own party is in government in Sindh for more than 12 years now. Can he name 5 achievement done by the government for the people of Sindh.…"
Zia Writes,Amazing
Shaiq Feroz,Amry must be accountable for this
Saad Rasheed,Anay do 2023 ko sindh b haat sa jaya ga khusray
Zahid Nisar,And here they were “moving together”
Aariz Khan,And his follower are following him blindly.
Tahir Sajjad,And I reject u dezalaa...
Abbas Anwar,And people had to listen to these shitloads of leaders for so long. Pity
Waheed Rehmat,And than enjoyed live music and born fire back in hotel in Quetta to get over the sadness!!! Most Pathetic & shameless character!!!
Hashim Rana,And there were no freedom in last PPP and PLMN govt as well even peoples were not known their rights.This is Khan He show us How PPP and PLMN were making fool people of Pakistan. Shame on u khusrye
Hassan Jawad,And they already named him after joe biden
Sohail Karachiwala,"And this ""Jihad"" will continue till the restoration of his Kashmir Committee Seat. What a shame for his followers."
Waheed Rehmat,And yet another disgusting idea from a disgusting region.
Zahid Mir,and you have to declare your true gender by January too
Ajab Khan,Andhi hakomt dikho awam
Intikhab Alam,Another Flop Jalsa
Syed Samiullah,Another flop Jalsi of Dakoo movement.
J Khan,Another game from him and his party
Wajahat Wasim,"Another relief for the common people? That's what he calls it, right?"
Khizar Hayat,Ansaf ho chew vo foog ka sardara ho ya hokamran ho.
Haider Iftikhar,Answer please London appartments
Imran Khan,Anyway.. menu bhut acha tha😂
Badder Khan,"Ao , kha ba shai ...."
صفا سادو,AoA so nice j
Muhammad Usman Rafi,✌️✌️
Muhammad Zauq,Aour  zor sy chalao.
Altaf Musani,Ap ka crush
Syed Naqvi,Ap ko sharam ani chahi hai pehly ek dosre ke khelaf bath Kar Rahi te aur aj Bai Bai hai Koy such lo ke Kyo asaa Kar raha hai ap khod socho
Imran Javed,Ap nay video kat do hai ap nay acha nai Kiya
Salman Siddiq,Ap waqia leader ho
Naeem Shaikh,Apne garh le jana baki jo nae ay
Fouzi Shafiq,Apnee izzat par samjhoo
Muhammad Asim Abbasi,Apni qulfi hi Jama lain thi kha Tu laitey
Tariq Rauf Afridi,Apny bhiyno ko jalsy mni nhi bulati siyani nani
Hasham Qazi,Apny k antenatal main apni sab sulat rkh kar bhoki payasi awam mari ja rhi bechri awam ko pta hi nai in ko apni sets chaye
Sajad Wani,Appreciate bilwal..
Muhammad Sharif Sahito,Are u coming to bannu?
Arif Hussain,Are we supposed to laugh at his joke or just ignore it ?
Emn Latiff,Army zindabad💕...imran khan zindabad💓 ...pakistan pahindabad love pakistan...💞
Fakhr E Alam Khilji,Ary waalo tum log ghaddaronko ko promot kiyo kerrahe ho ghaddaar kaa saath dene waala bhi ghaddaar hotaa hai aqal karo
Anees Pasha,"As long as there is ignorance in Pakistan like this, millions of people like Imran khan can't stabilize Pakistan nor it can progress like other Nations did."
ZaHoOr A. NaIcH,Aslamoalikum. Maryam. Dears. Aap  baba. Sy. Passy ly kr. Pakistan. Ko dy dn
Suleman Ahmad,Assemble can’t be run on diesiel any more
Adeel Javed,Astaghfirullah
Mushtaq Bashir Khan,At least that's not the beauty of democracy.....
Salahuddin Khisraw,Aur jo biyaniya thay kar tu London gaya hai.
Libra Chaudhry,Aur main gul khan ko chahti ha
Inayat Hussain Iktou,Aur Sub Chor ikhatay ho gaye. 🤣🤣🤣
Malak Aftab Kasi,Aur tum se azadi chahti he
Mohammad Imran,Awaaam Parchi ki bhi aazaadi chahti hai BKL
Abdul Rafey Hashmi,Awaam ka sir katwa rae ho.. apni baat karo na
Sameer Khan,awaam q nh dikha rahy  jo k bhar gai hai
Adil Murtaza,Awaaz kyn mute karty hooo
Yaser Awan,Awaaz kyn mute kr raha hai
Saad Jamal,Awaaz mute kyn kiii
Engr Irfan Alyan,Awam Imran Khan isi army heroes airforce islam Pakistan 🇵🇰 Kashmir ky sath hy 🇵🇰💪🏏❤️🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰
Farhan Ali Shammas,Awam suchy leaders ky sath hoti hain cohro lutero ky sath sirf piso sy kharidy huy tatu hoty hain
Amir Shams,Awesome
Muhammad Shoaib Lashari,awsoemee
Immi Arsh,Aza
Shaheryar Khan,B Sher Sher Sher
Zaid Afridi,Babe chusni le k soo jao good night
Ash Caan,Baber sherni❤️🦁
Zain Khan,BACHAY DARRR GAYE
Mohammad Ashraf Ashraf,Bahawalpoor ma1 week sa band ha
Sayed Rehman,Bahgora baap wapis laou
Rihan Khan,Bahgora baap wapis laou
Shahid Hassan,Bahgora baap wapis laou
Avadhoot Mukund Joshi,Bahi to lawo Jo ab kehty hain ham Pakistani nahe Sara Pakistan loot kar London m Aram kar rahy hain
Imran Khan,Baighairat apurat phaly apny courrpt  baap ko wapis lao
Imran Miah,Baji g Sara minare Pakistan to piche se khalli para hw  hain
Ahmad Khan,Bakwas jb nawaz chor parvez mushraf se NRO ly k gya tha tb ye brod sheet compani ko keh dya tha ap log ye investigeshn rok thy or ye chor log keh rhy hain wo chor Sacha ha
Mukhtar Ali,"Balawal,is a useless person."
Sarki Atta Shaan,Bally
Zeba Baig,Bally marym to khush hoye a shahzada.
Mehar Saleem,Balochistan kab gya tha tu bilo rani...
Hanan Chaudhry,Banda Laa lith....
Muhammad Adnan,Bara housla chaheye is ourat ko sunnany k liye... safdar awan teri azmat ko salam tu qiyamat k din shaheedo mein uthaya jaye ga 🤪🤪🤪
